>>>>>Running tests<<<<<
Running 2 test sets
person11_running_d3_uncomp.avi [det: 0.07][falsep: 0.01][fps: 177.39]
person12_running_d2_uncomp.avi [det: 0.28][falsep: 0.01][fps: 186.30]
person13_running_d4_uncomp.avi [det: 0.49][falsep: 0.03][fps: 174.47]
person14_running_d1_uncomp.avi [det: 0.28][falsep: 0.04][fps: 177.66]
person15_running_d2_uncomp.avi [det: 0.39][falsep: 0.03][fps: 174.47]
person16_running_d2_uncomp.avi [det: 0.54][falsep: 0.03][fps: 181.73]
person17_running_d1_uncomp.avi [det: 0.09][falsep: 0.09][fps: 175.07]
person18_running_d3_uncomp.avi [det: 0.55][falsep: 0.03][fps: 175.15]
person19_running_d2_uncomp.avi [det: 0.52][falsep: 0.04][fps: 174.10]
person20_running_d4_uncomp.avi [det: 0.41][falsep: 0.03][fps: 171.45]
person21_running_d1_uncomp.avi [det: 0.36][falsep: 0.06][fps: 176.85]
person22_running_d3_uncomp.avi [det: 0.14][falsep: 0.03][fps: 184.15]
person23_running_d4_uncomp.avi [det: 0.53][falsep: 0.09][fps: 156.93]
person24_running_d3_uncomp.avi [det: 0.48][falsep: 0.08][fps: 177.03]
person25_running_d3_uncomp.avi [det: 0.19][falsep: 0.01][fps: 169.06]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.44][falsep: 0.10][fps: 753.79]
person02_running_d4_uncomp.avi [det: 0.61][falsep: 0.03][fps: 434.02]
person03_running_d4_uncomp.avi [det: 0.51][falsep: 0.03][fps: 446.52]
person04_running_d2_uncomp.avi [det: 0.50][falsep: 0.03][fps: 475.36]
person05_running_d1_uncomp.avi [det: 0.35][falsep: 0.04][fps: 499.95]
person06_running_d3_uncomp.avi [det: 0.68][falsep: 0.11][fps: 704.06]
person07_running_d1_uncomp.avi [det: 0.63][falsep: 0.12][fps: 791.40]
person08_running_d2_uncomp.avi [det: 0.64][falsep: 0.05][fps: 622.51]
person09_running_d1_uncomp.avi [det: 0.51][falsep: 0.06][fps: 543.42]
person10_running_d1_uncomp.avi [det: 0.61][falsep: 0.05][fps: 777.64]
person11_running_d3_uncomp.avi [det: 0.05][falsep: 0.02][fps: 727.28]
person12_running_d2_uncomp.avi [det: 0.51][falsep: 0.03][fps: 755.90]
person13_running_d4_uncomp.avi [det: 0.56][falsep: 0.03][fps: 761.83]
person14_running_d1_uncomp.avi [det: 0.49][falsep: 0.06][fps: 607.43]
person15_running_d2_uncomp.avi [det: 0.60][falsep: 0.05][fps: 716.33]
person16_running_d2_uncomp.avi [det: 0.68][falsep: 0.05][fps: 501.70]
person17_running_d1_uncomp.avi [det: 0.10][falsep: 0.14][fps: 706.00]
person18_running_d3_uncomp.avi [det: 0.59][falsep: 0.04][fps: 756.79]
person19_running_d2_uncomp.avi [det: 0.68][falsep: 0.04][fps: 635.48]
person20_running_d4_uncomp.avi [det: 0.40][falsep: 0.03][fps: 587.11]
person21_running_d1_uncomp.avi [det: 0.63][falsep: 0.07][fps: 789.70]
person22_running_d3_uncomp.avi [det: 0.28][falsep: 0.05][fps: 861.64]
person23_running_d4_uncomp.avi [det: 0.56][falsep: 0.09][fps: 493.76]
person24_running_d3_uncomp.avi [det: 0.66][falsep: 0.09][fps: 761.05]
person25_running_d3_uncomp.avi [det: 0.59][falsep: 0.06][fps: 628.13]
Loaded classifier cascade/lbp_14.xml (w:48 h:96)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.59][falsep: 0.11][fps: 193.40]
person02_running_d4_uncomp.avi [det: 0.81][falsep: 0.05][fps: 189.30]
